legislator_id,legislativebody,party
0,Alabama House,R
1,Alabama House,R
2,Alabama House,R
3,Alabama House,R
4,Alabama House,R
5,Alabama House,R
6,Alabama House,R
7,Alabama House,R
8,Alabama House,R
9,Alabama House,R
10,Alabama House,R
11,Alabama House,R
12,Alabama House,R
13,Alabama House,R
14,Alabama House,R
15,Alabama House,R
16,Alabama House,R
17,Alabama House,R
18,Alabama House,D
19,Alabama House,R
20,Alabama House,R
21,Alabama House,R
22,Alabama House,R
23,Alabama House,R
24,Alabama House,R
25,Alabama House,R
26,Alabama House,R
27,Alabama House,R
28,Alabama House,R
29,Alabama House,R
30,Alabama House,R
31,Alabama House,D
32,Alabama House,R
33,Alabama House,R
34,Alabama House,R
35,Alabama House,R
36,Alabama House,R
37,Alabama House,R
38,Alabama House,R
39,Alabama House,R
40,Alabama House,R
41,Alabama House,R
42,Alabama House,R
43,Alabama House,R
44,Alabama House,R
45,Alabama House,R
46,Alabama House,R
47,Alabama House,R
48,Alabama House,R
49,Alabama House,D
50,Alabama House,D
51,Alabama House,D
52,Alabama House,D
53,Alabama House,D
54,Alabama House,D
55,Alabama House,D
56,Alabama House,D
57,Alabama House,D
58,Alabama House,R
59,Alabama House,R
60,Alabama House,R
61,Alabama House,R
62,Alabama House,R
63,Alabama House,R
64,Alabama House,D
65,Alabama House,D
66,Alabama House,D
67,Alabama House,D
68,Alabama House,D
69,Alabama House,D
70,Alabama House,R
71,Alabama House,R
72,Alabama House,R
73,Alabama House,D
74,Alabama House,D
75,Alabama House,D
76,Alabama House,R
77,Alabama House,R
78,Alabama House,R
79,Alabama House,D
80,Alabama House,D
81,Alabama House,D
82,Alabama House,D
83,Alabama House,R
84,Alabama House,R
85,Alabama House,R
86,Alabama House,R
87,Alabama House,R
88,Alabama House,R
89,Alabama House,R
90,Alabama House,R
91,Alabama House,R
92,Alabama House,R
93,Alabama House,R
94,Alabama House,D
95,Alabama House,D
96,Alabama House,D
97,Alabama House,R
98,Alabama House,R
99,Alabama House,R
100,Alabama House,D
101,Alabama House,R
102,Alabama House,R
103,Alabama Senate,R
104,Alabama Senate,R
105,Alabama Senate,R
106,Alabama Senate,R
107,Alabama Senate,R
108,Alabama Senate,R
109,Alabama Senate,R
110,Alabama Senate,R
111,Alabama Senate,R
112,Alabama Senate,R
113,Alabama Senate,R
114,Alabama Senate,R
115,Alabama Senate,R
116,Alabama Senate,R
117,Alabama Senate,R
118,Alabama Senate,R
119,Alabama Senate,R
120,Alabama Senate,D
121,Alabama Senate,D
122,Alabama Senate,D
123,Alabama Senate,R
124,Alabama Senate,R
125,Alabama Senate,D
126,Alabama Senate,D
127,Alabama Senate,R
128,Alabama Senate,D
129,Alabama Senate,R
130,Alabama Senate,D
131,Alabama Senate,R
132,Alabama Senate,R
133,Alabama Senate,R
134,Alabama Senate,R
135,Alabama Senate,D
136,Alabama Senate,R
137,Alabama Senate,R
138,Alaska House,R
139,Alaska House,D
140,Alaska House,D
141,Alaska House,R
142,Alaska House,I
143,Alaska House,D
144,Alaska House,D
145,Alaska House,R
146,Alaska House,D
147,Alaska House,D
148,Alaska House,R
149,Alaska House,R
150,Alaska House,R
151,Alaska House,D
152,Alaska House,R
153,Alaska House,R
154,Alaska House,D
155,Alaska House,R
156,Alaska House,R
157,Alaska House,U
158,Alaska House,R
159,Alaska House,R
160,Alaska House,R
161,Alaska House,R
162,Alaska House,R
163,Alaska House,R
164,Alaska House,R
165,Alaska House,D
166,Alaska House,D
167,Alaska House,R
168,Alaska House,R
169,Alaska House,R
170,Alaska House,D
171,Alaska House,R
172,Alaska House,R
173,Alaska House,D
174,Alaska House,R
175,Alaska House,D
176,Alaska House,D
177,Alaska Senate,D
178,Alaska Senate,R
179,Alaska Senate,R
180,Alaska Senate,R
181,Alaska Senate,R
182,Alaska Senate,R
183,Alaska Senate,R
184,Alaska Senate,D
185,Alaska Senate,D
186,Alaska Senate,D
187,Alaska Senate,R
188,Alaska Senate,R
189,Alaska Senate,R
190,Alaska Senate,R
191,Alaska Senate,R
192,Alaska Senate,R
193,Alaska Senate,D
194,Alaska Senate,R
195,Alaska Senate,D
196,Alaska Senate,D
197,Arizona House,R
198,Arizona House,D
199,Arizona House,R
200,Arizona House,R
201,Arizona House,R
202,Arizona House,D
203,Arizona House,D
204,Arizona House,R
205,Arizona House,R
206,Arizona House,D
207,Arizona House,R
208,Arizona House,D
209,Arizona House,R
210,Arizona House,D
211,Arizona House,R
212,Arizona House,R
213,Arizona House,D
214,Arizona House,R
215,Arizona House,D
216,Arizona House,D
217,Arizona House,D
218,Arizona House,D
219,Arizona House,R
220,Arizona House,R
221,Arizona House,D
222,Arizona House,D
223,Arizona House,R
224,Arizona House,R
225,Arizona House,D
226,Arizona House,D
227,Arizona House,D
228,Arizona House,R
229,Arizona House,R
230,Arizona House,R
231,Arizona House,D
232,Arizona House,D
233,Arizona House,D
234,Arizona House,R
235,Arizona House,R
236,Arizona House,D
237,Arizona House,R
238,Arizona House,D
239,Arizona House,R
240,Arizona House,R
241,Arizona House,D
242,Arizona House,R
243,Arizona House,R
244,Arizona House,D
245,Arizona House,D
246,Arizona House,D
247,Arizona House,R
248,Arizona House,D
249,Arizona House,D
250,Arizona House,D
251,Arizona House,R
252,Arizona House,R
253,Arizona House,R
254,Arizona House,D
255,Arizona House,R
256,Arizona House,R
257,Arizona Senate,R
258,Arizona Senate,D
259,Arizona Senate,R
260,Arizona Senate,D
261,Arizona Senate,R
262,Arizona Senate,D
263,Arizona Senate,R
264,Arizona Senate,R
265,Arizona Senate,D
266,Arizona Senate,D
267,Arizona Senate,R
268,Arizona Senate,R
269,Arizona Senate,R
270,Arizona Senate,D
271,Arizona Senate,R
272,Arizona Senate,R
273,Arizona Senate,R
274,Arizona Senate,R
275,Arizona Senate,R
276,Arizona Senate,D
277,Arizona Senate,R
278,Arizona Senate,D
279,Arizona Senate,D
280,Arizona Senate,R
281,Arizona Senate,D
282,Arizona Senate,R
283,Arizona Senate,D
284,Arizona Senate,D
285,Arizona Senate,D
286,Arizona Senate,R
287,Arkansas House,R
288,Arkansas House,D
289,Arkansas House,R
290,Arkansas House,R
291,Arkansas House,R
292,Arkansas House,R
293,Arkansas House,R
294,Arkansas House,R
295,Arkansas House,R
296,Arkansas House,R
297,Arkansas House,R
298,Arkansas House,R
299,Arkansas House,R
300,Arkansas House,R
301,Arkansas House,R
302,Arkansas House,R
303,Arkansas House,R
304,Arkansas House,R
305,Arkansas House,D
306,Arkansas House,R
307,Arkansas House,D
308,Arkansas House,R
309,Arkansas House,D
310,Arkansas House,D
311,Arkansas House,D
312,Arkansas House,D
313,Arkansas House,R
314,Arkansas House,R
315,Arkansas House,R
316,Arkansas House,D
317,Arkansas House,D
318,Arkansas House,R
319,Arkansas House,R
320,Arkansas House,R
321,Arkansas House,R
322,Arkansas House,R
323,Arkansas House,R
324,Arkansas House,D
325,Arkansas House,R
326,Arkansas House,R
327,Arkansas House,D
328,Arkansas House,R
329,Arkansas House,R
330,Arkansas House,R
331,Arkansas House,R
332,Arkansas House,R
333,Arkansas House,R
334,Arkansas House,R
335,Arkansas House,R
336,Arkansas House,R
337,Arkansas House,R
338,Arkansas House,R
339,Arkansas House,R
340,Arkansas House,D
341,Arkansas House,R
342,Arkansas House,R
343,Arkansas House,R
344,Arkansas House,R
345,Arkansas House,R
346,Arkansas House,R
347,Arkansas House,D
348,Arkansas House,R
349,Arkansas House,R
350,Arkansas House,R
351,Arkansas House,D
352,Arkansas House,R
353,Arkansas House,R
354,Arkansas House,R
355,Arkansas House,R
356,Arkansas House,R
357,Arkansas House,D
358,Arkansas House,R
359,Arkansas House,R
360,Arkansas House,R
361,Arkansas House,D
362,Arkansas House,R
363,Arkansas House,R
364,Arkansas House,D
365,Arkansas House,D
366,Arkansas House,R
367,Arkansas House,D
368,Arkansas House,R
369,Arkansas House,D
370,Arkansas House,R
371,Arkansas House,R
372,Arkansas House,R
373,Arkansas House,R
374,Arkansas House,R
375,Arkansas House,R
376,Arkansas House,R
